"","accepted_symbol","scientific_name","fire_resistance","growth_rate","height","drought_tolerance","fire_tolerance","moisture_use","planting_density","root_depth","bloom_period","growth_habit","growth_period"
"135","AMUT","Amelanchier utahensis","No","Rapid",15,"High","High","Medium",1700,24,"Late Spring","Tree","Spring"
"136","AMUT","Amelanchier utahensis","No","Rapid",15,"High","High","Medium",1700,24,"Late Spring","Shrub","Spring"
"137","AMUTU","Amelanchier utahensis var. utahensis","No","Slow",15,"High","High","Medium",3450,12,"Late Spring","Shrub","Spring"
"138","AMUTU","Amelanchier utahensis var. utahensis","No","Slow",15,"High","High","Medium",3450,12,"Late Spring","Tree","Spring"
"139","AMAR4","Ammophila arenaria","Yes","Moderate",2,"Medium","High","Medium",43560,20,"Spring","Graminoid","Spring"
"140","AMBR","Ammophila breviligulata","Yes","Rapid",2,"Medium","Medium","Medium",43560,20,"Spring","Graminoid","Spring"
"141","AMBR","Ammophila breviligulata","Yes","Rapid",2,"Medium","Medium","Medium",43560,20,"Spring","Graminoid","Summer"
"142","AMBR","Ammophila breviligulata","Yes","Rapid",2,"Medium","Medium","Medium",43560,20,"Spring","Graminoid","Fall"
"143","AMCA6","Amorpha canescens","No","Moderate",4,"High","High","Low",2700,20,"Early Summer","Subshrub","Spring"
"144","AMCA6","Amorpha canescens","No","Moderate",4,"High","High","Low",2700,20,"Early Summer","Shrub","Spring"
"145","AMFR","Amorpha fruticosa","No","Moderate",15,"Medium","None","High",2700,12,"Early Spring","Shrub","Summer"
"146","AMGL2","Amorpha glabra","No","Moderate",16,"Medium","High","Medium",2700,20,"Mid Spring","Shrub","Spring"
"147","AMCO2","Ampelopsis cordata","No","Moderate",2,"Low","Medium","Medium",3450,12,"Late Spring","Vine","Spring"
"148","ANCO30","Ananas comosus","No","Slow",3,"Medium","Low","Medium",2700,24,"Indeterminate","Forb/herb","Spring"
"149","ANMA","Anaphalis margaritacea","No","Rapid",3,"Medium","None","Medium",3450,6,"Early Summer","Forb/herb","Spring"
"150","ANIN","Andira inermis","No","Rapid",90,"Medium","Medium","Low",640,36,"Summer","Tree","Year Round"
"151","ANGL2","Andropogon glomeratus","No","Moderate",6,"Low","Medium","High",18000,12,"Late Summer","Graminoid","Summer"
"152","ANTE2","Andropogon ternarius","No","Moderate",4,"High","Medium","Low",11000,10,"Late Summer","Graminoid","Summer"
"153","ANCA10","Anemopsis californica","No","Moderate",2,"None","High","High",4800,6,"Early Spring","Forb/herb","Spring"
"154","ANTH2","Anisacanthus thurberi","No","Moderate",4,"High","Low","Low",1700,18,"Mid Spring","Shrub","Spring"
"155","ANMU2","Annona muricata","No","Moderate",20,"Medium","None","Medium",700,60,"Summer","Tree","Year Round"
"156","ANCO","Antennaria corymbosa","No","Slow",1,"Low","High","High",11000,10,"Spring","Forb/herb","Spring"
"157","ANDI2","Antennaria dimorpha","No","Slow",0,"High","High","Low",4800,14,"Late Spring","Subshrub","Spring"
"158","ANDI2","Antennaria dimorpha","No","Slow",0,"High","High","Low",4800,14,"Late Spring","Forb/herb","Spring"
"159","ANLU2","Antennaria luzuloides","No","Slow",2,"Medium","High","Medium",2700,12,"Late Spring","Subshrub","Spring"
"160","ANLU2","Antennaria luzuloides","No","Slow",2,"Medium","High","Medium",2700,12,"Late Spring","Forb/herb","Spring"
"161","APAM","Apios americana","No","Rapid",1,"Low","Low","Medium",10000,8,"Late Spring","Vine","Spring"
"162","APAM","Apios americana","No","Rapid",1,"Low","Low","Medium",10000,8,"Late Spring","Forb/herb","Spring"
"163","APCA","Apocynum cannabinum","No","Moderate",3,"Medium","None","High",11000,12,"Summer","Forb/herb","Spring"
"164","AQFO","Aquilegia formosa","No","Rapid",3,"Medium","High","Medium",3450,6,"Spring","Forb/herb","Spring"
"165","ARDI2","Arabis ×divaricarpa","No","Rapid",3,"High","Medium","Low",18000,8,"Late Spring","Forb/herb","Spring"
