"","accepted_symbol","common_name","scientific_name","fire_resistance","growth_rate","height","drought_tolerance","fire_tolerance","moisture_use","planting_density","root_depth","bloom_period","growth_habit","growth_period"
"207","OEELH2","Hooker's evening primrose","Oenothera elata ssp. hookeri","No","Rapid",5,"Medium","None","Low",25000,6,"Late Summer","Forb/herb","Summer"
"208","OPFI","Barbary fig","Opuntia ficus-indica","No","Slow",10,"High","None","Low",700,6,"Mid Summer","Tree","Summer"
"209","OPFI","Barbary fig","Opuntia ficus-indica","No","Slow",10,"High","None","Low",700,6,"Mid Summer","Shrub","Summer"
"210","OPPO","plains pricklypear","Opuntia polyacantha","No","Rapid",2,"High","None","Low",300,12,"Late Spring","Shrub","Spring"
"211","OPPO","plains pricklypear","Opuntia polyacantha","No","Rapid",2,"High","None","Low",300,12,"Late Spring","Shrub","Summer"
"212","OPPO","plains pricklypear","Opuntia polyacantha","No","Rapid",2,"High","None","Low",300,12,"Late Spring","Shrub","Fall"
"213","PADI6","knotgrass","Paspalum distichum","No","Rapid",1,"None","Medium","High",43560,4,"Late Summer","Graminoid","Spring"
"214","PADI6","knotgrass","Paspalum distichum","No","Rapid",1,"None","Medium","High",43560,4,"Late Summer","Graminoid","Summer"
"215","PADI6","knotgrass","Paspalum distichum","No","Rapid",1,"None","Medium","High",43560,4,"Late Summer","Graminoid","Fall"
"216","PESE3","crimson fountaingrass","Pennisetum setaceum","No","Moderate",4,"High","High","Low",4800,12,"Mid Summer","Graminoid","Summer"
"217","PEEA","firecracker penstemon","Penstemon eatonii","No","Rapid",4,"Medium","Medium","Low",2700,6,"Early Summer","Forb/herb","Spring"
"218","PHAU7","common reed","Phragmites australis","No","Rapid",13,"Low","High","Medium",4800,20,"Summer","Subshrub","Spring"
"219","PHAU7","common reed","Phragmites australis","No","Rapid",13,"Low","High","Medium",4800,20,"Summer","Shrub","Spring"
"220","PHAU7","common reed","Phragmites australis","No","Rapid",13,"Low","High","Medium",4800,20,"Summer","Graminoid","Spring"
"221","PHNO2","turkey tangle fogfruit","Phyla nodiflora","Yes","Rapid",0,"Medium","None","Low",4800,6,"Indeterminate","Forb/herb","Summer"
"222","PIDE4","bud sagebrush","Picrothamnus desertorum","No","Slow",2,"High","Low","Low",1700,20,"Mid Spring","Subshrub","Spring"
"223","PIDE4","bud sagebrush","Picrothamnus desertorum","No","Slow",2,"High","Low","Low",1700,20,"Mid Spring","Shrub","Spring"
"224","PICO","lodgepole pine","Pinus contorta","No","Rapid",99,"Low","Low","Medium",700,20,"Mid Summer","Tree","Spring"
"225","PICO3","Coulter pine","Pinus coulteri","No","Slow",80,"Low","Low","Medium",1200,40,"Late Spring","Tree","Spring"
"226","PIFL2","limber pine","Pinus flexilis","No","Slow",66,"High","Low","Low",1200,20,"Summer","Tree","Summer"
"227","PIJE","Jeffrey pine","Pinus jeffreyi","Yes","Rapid",180,"Medium","Medium","Medium",1200,40,"Late Spring","Tree","Spring"
"228","PILA","sugar pine","Pinus lambertiana","No","Rapid",229,"Medium","Low","Medium",1200,40,"Spring","Tree","Spring"
"229","PILA","sugar pine","Pinus lambertiana","No","Rapid",229,"Medium","Low","Medium",1200,40,"Spring","Tree","Summer"
"230","PILA","sugar pine","Pinus lambertiana","No","Rapid",229,"Medium","Low","Medium",1200,40,"Spring","Tree","Fall"
"231","PIMO","singleleaf pinyon","Pinus monophylla","No","Slow",50,"High","Low","Low",600,40,"Mid Spring","Tree","Spring"
"232","PIMU","Bishop pine","Pinus muricata","No","Rapid",90,"Low","High","Medium",1200,42,"Mid Spring","Tree","Spring"
"233","PIPO","ponderosa pine","Pinus ponderosa","Yes","Moderate",223,"High","High","Medium",1200,20,"Mid Spring","Tree","Spring"
"234","PISA2","California foothill pine","Pinus sabiniana","No","Slow",80,"High","Low","Low",1200,40,"Early Spring","Tree","Spring"
